package_name,category,subcategory,framework,ecosystem
pako,Utility Libraries,General Utilities,Pako,javascript
pngjs,Utility Libraries,General Utilities,Pngjs,javascript
utils-merge,Utility Libraries,General Utilities,Utils-merge,javascript
gray-matter,Utility Libraries,General Utilities,Gray-matter,javascript
postcss-nested,Developer Tooling,Build Tools,Postcss-nested,javascript
pretty-error,Observability,Logging,Pretty-error,javascript
rc-slider,Application Development,Web Frameworks,Rc-slider,javascript
node-static,Application Integration,Service Integration Frameworks,Node-static,javascript
decompress,Utility Libraries,General Utilities,Decompress,javascript
gh-pages,Developer Tooling,Build Tools,Gh-pages,javascript
cli-table2,Utility Libraries,General Utilities,Cli-table2,javascript
os,Utility Libraries,General Utilities,Os,javascript
reactstrap,Application Development,Web Frameworks,Reactstrap,javascript
sanitize-html,Utility Libraries,General Utilities,Sanitize-html,javascript
extract-zip,Utility Libraries,General Utilities,Extract-zip,javascript
gulp-shell,Developer Tooling,Build Tools,Gulp-shell,javascript
vue-i18n,Application Development,Web Frameworks,Vue-i18n,javascript
@types/mocha,Testing & Quality,Testing Frameworks,@types/mocha,javascript
http-status-codes,Utility Libraries,General Utilities,Http-status-codes,javascript
hogan.js,Application Development,Template Engines,Hogan.js,javascript
quill,Application Development,Web Frameworks,Quill,javascript
soap,Application Integration,RPC & Web Services,Soap,javascript
randombytes,Utility Libraries,General Utilities,Randombytes,javascript
decamelize,Utility Libraries,General Utilities,Decamelize,javascript
bson,Serialization,Binary Formats,Bson,javascript
imagemin-pngquant,Developer Tooling,Build Tools,Imagemin-pngquant,javascript
arrify,Utility Libraries,General Utilities,Arrify,javascript
bytebuffer,Utility Libraries,General Utilities,Bytebuffer,javascript
xml2json,Serialization,JSON & XML,Xml2json,javascript
lodash.isobject,Utility Libraries,General Utilities,Lodash.isobject,javascript
columnify,Utility Libraries,General Utilities,Columnify,javascript
fluent-ffmpeg,Utility Libraries,General Utilities,Fluent-ffmpeg,javascript
xml-js,Serialization,JSON & XML,Xml-js,javascript
sockjs-client,Application Integration,Messaging Protocols,Sockjs-client,javascript
@emotion/styled,Application Development,Web Frameworks,@emotion/styled,javascript
resolve-from,Utility Libraries,General Utilities,Resolve-from,javascript
es6-error,Utility Libraries,General Utilities,Es6-error,javascript
react-slick,Application Development,Web Frameworks,React-slick,javascript
typeorm,Data Management,ORM & Data Access,Typeorm,javascript
sprintf,Utility Libraries,General Utilities,Sprintf,javascript
apollo-cache-inmemory,Application Integration,Service Integration Frameworks,Apollo-cache-inmemory,javascript
babel-plugin-lodash,Developer Tooling,Build Tools,Babel-plugin-lodash,javascript
hexlet-pairs,Utility Libraries,General Utilities,Hexlet-pairs,javascript
pretty-ms,Utility Libraries,Date & Time Utilities,Pretty-ms,javascript
pouchdb,Data Management,NoSQL Databases,Pouchdb,javascript
md5-file,Utility Libraries,General Utilities,Md5-file,javascript
react-markdown,Application Development,Web Frameworks,React-markdown,javascript
is,Utility Libraries,General Utilities,Is,javascript
yeoman-environment,Developer Tooling,Local Development Runtimes,Yeoman-environment,javascript
progress-bar-webpack-plugin,Developer Tooling,Build Tools,Progress-bar-webpack-plugin,javascript
left-pad,Utility Libraries,General Utilities,Left-pad,javascript
stylelint-order,Testing & Quality,Static Analysis,Stylelint-order,javascript
follow-redirects,Application Integration,RPC & Web Services,Follow-redirects,javascript
stylelint-scss,Testing & Quality,Static Analysis,Stylelint-scss,javascript
koa-mount,Application Development,Web Frameworks,Koa-mount,javascript
busboy,Utility Libraries,General Utilities,Busboy,javascript
sinon-chai,Testing & Quality,Testing Frameworks,Sinon-chai,javascript
jasmine-core,Testing & Quality,Testing Frameworks,Jasmine-core,javascript
loose-envify,Utility Libraries,General Utilities,Loose-envify,javascript
process,Utility Libraries,General Utilities,Process,javascript
envify,Developer Tooling,Build Tools,Envify,javascript
bufferutil,Utility Libraries,General Utilities,Bufferutil,javascript
normalize-url,Utility Libraries,General Utilities,Normalize-url,javascript
angular-animate,Application Development,Web Frameworks,Angular-animate,javascript
tv4,Utility Libraries,General Utilities,Tv4,javascript
karma-mocha,Testing & Quality,Testing Frameworks,Karma-mocha,javascript
karma-phantomjs-launcher,Testing & Quality,Testing Frameworks,Karma-phantomjs-launcher,javascript
ts-pnp,Developer Tooling,Build Tools,Ts-pnp,javascript
atob,Utility Libraries,General Utilities,Atob,javascript
connect-mongo,Application Integration,Service Integration Frameworks,Connect-mongo,javascript
@jupyterlab/application,Application Development,Web Frameworks,@jupyterlab/application,javascript
@babel/plugin-proposal-export-namespace-from,Developer Tooling,Build Tools,@babel/plugin-proposal-export-namespace-from,javascript
http-status,Utility Libraries,General Utilities,Http-status,javascript
bulma,Application Development,Web Frameworks,Bulma,javascript
cli-ux,Utility Libraries,General Utilities,Cli-ux,javascript
iniparser,Utility Libraries,Configuration Utilities,Iniparser,javascript
nock,Testing & Quality,Mocking & Fakes,Nock,javascript
object.assign,Utility Libraries,General Utilities,Object.assign,javascript
flux,Utility Libraries,General Utilities,Flux,javascript
semantic-ui-react,Application Development,Web Frameworks,Semantic-ui-react,javascript
fastclick,Utility Libraries,General Utilities,Fastclick,javascript
karma-jasmine,Testing & Quality,Testing Frameworks,Karma-jasmine,javascript
fuse.js,Utility Libraries,Collections & Data Structures,Fuse.js,javascript
inert,Application Integration,Service Integration Frameworks,Inert,javascript
jwt-simple,Security,Authentication & Authorization,Jwt-simple,javascript
isobject,Utility Libraries,General Utilities,Isobject,javascript
jsdoc,Developer Tooling,Code Generators,Jsdoc,javascript
element-resize-detector,Utility Libraries,General Utilities,Element-resize-detector,javascript
react-datepicker,Application Development,Web Frameworks,React-datepicker,javascript
standard,Testing & Quality,Static Analysis,Standard,javascript
react-onclickoutside,Application Development,Component Models,React-onclickoutside,javascript
react-addons-shallow-compare,Utility Libraries,General Utilities,React-addons-shallow-compare,javascript
dot,Utility Libraries,General Utilities,Dot,javascript
browserslist,Developer Tooling,Build Tools,Browserslist,javascript
firebase-admin,Application Integration,Service Integration Frameworks,Firebase-admin,javascript
nib,Utility Libraries,General Utilities,Nib,javascript
fuzzy,Utility Libraries,General Utilities,Fuzzy,javascript
word-wrap,Utility Libraries,General Utilities,Word-wrap,javascript
ansi-colors,Utility Libraries,General Utilities,Ansi-colors,javascript
tracer,Observability,Logging,Tracer,javascript
yaml,Serialization,JSON & XML,Yaml,javascript
ansi-escapes,Utility Libraries,General Utilities,Ansi-escapes,javascript
jquery-ui,Application Development,Web Frameworks,Jquery-ui,javascript
raven,Observability,Monitoring,Raven,javascript
i,Utility Libraries,General Utilities,I,javascript
xhr,Application Integration,RPC & Web Services,Xhr,javascript
deep-assign,Utility Libraries,General Utilities,Deep-assign,javascript
inquirer-autocomplete-prompt,Utility Libraries,General Utilities,Inquirer-autocomplete-prompt,javascript
xpath,Utility Libraries,General Utilities,Xpath,javascript
fresh,Utility Libraries,General Utilities,Fresh,javascript
